BHK,Size,StayFloor,Bathrooms,Furnishing Status,Tenant Type,Area Type,Area Locality,Rent,,City,Point of Contact
2,1100,2,2,Unfurnished,Bachelors/Family,Super Area,Bandel,10000,,Kolkata,Contact Owner
2,800,1,1,Semi-Furnished,Bachelors/Family,Super Area,"Phool Bagan, Kankurgachi",20000,,Kolkata,Contact Owner
2,1000,1,1,Semi-Furnished,Bachelors/Family,Super Area,Salt Lake City Sector 2,17000,,Kolkata,Contact Owner
2,800,1,1,Unfurnished,Bachelors/Family,Super Area,Dumdum Park,10000,,Kolkata,Contact Owner
2,850,1,1,Unfurnished,Bachelors,Carpet Area,South Dum Dum,7500,,Kolkata,Contact Owner
2,600,2,2,Unfurnished,Bachelors/Family,Super Area,Thakurpukur,7000,,Kolkata,Contact Owner
2,700,2,2,Unfurnished,Bachelors,Super Area,Malancha,10000,,Kolkata,Contact Agent
1,250,1,1,Unfurnished,Bachelors,Super Area,Malancha,5000,,Kolkata,Contact Agent
2,800,2,2,Unfurnished,Bachelors,Carpet Area,"Palm Avenue Kolkata, Ballygunge",26000,,Kolkata,Contact Agent
2,1000,2,2,Semi-Furnished,Bachelors/Family,Carpet Area,Natunhat,10000,,Kolkata,Contact Owner
3,1200,2,2,Semi-Furnished,Bachelors/Family,Carpet Area,"Action Area 1, Rajarhat Newtown",25000,,Kolkata,Contact Agent
1,400,1,1,Unfurnished,Bachelors/Family,Carpet Area,Keshtopur,5000,,Kolkata,Contact Agent
1,250,1,1,Furnished,Bachelors,Carpet Area,"Tarulia, Keshtopur",6500,,Kolkata,Contact Owner
1,375,1,1,Unfurnished,Bachelors/Family,Carpet Area,Dum Dum Metro,5500,,Kolkata,Contact Agent
3,900,2,2,Unfurnished,Bachelors,Carpet Area,Paschim Barisha,8500,,Kolkata,Contact Owner
3,1286,2,2,Furnished,Bachelors/Family,Carpet Area,New Town Action Area 1,40000,,Kolkata,Contact Owner
2,600,1,1,Semi-Furnished,Bachelors/Family,Super Area,Barasat,6000,,Kolkata,Contact Owner
2,800,1,1,Unfurnished,Bachelors/Family,Super Area,Behala,10000,,Kolkata,Contact Owner
2,2000,1,1,Unfurnished,Bachelors/Family,Carpet Area,Behala Chowrasta,11000,,Kolkata,Contact Owner
2,660,1,1,Unfurnished,Bachelors/Family,Super Area,Behala,6000,,Kolkata,Contact Owner
2,650,1,1,Unfurnished,Family,Carpet Area,Santoshpur,7900,,Kolkata,Contact Owner
2,400,2,2,Unfurnished,Bachelors,Carpet Area,"Garia Station, Garia",9000,,Kolkata,Contact Owner
1,300,1,1,Unfurnished,Bachelors/Family,Carpet Area,"Garia Station, Garia",4000,,Kolkata,Contact Owner
3,1600,1,1,Unfurnished,Bachelors/Family,Super Area,Joka,6500,,Kolkata,Contact Owner
1,400,1,1,Semi-Furnished,Bachelors,Super Area,Sreebhumi,8000,,Kolkata,Contact Agent
2,1000,1,1,Unfurnished,Bachelors/Family,Super Area,Rajarhat,7000,,Kolkata,Contact Owner
1,355,1,1,Semi-Furnished,Bachelors/Family,Carpet Area,Dum Dum,5300,,Kolkata,Contact Agent
2,1000,1,1,Semi-Furnished,Bachelors/Family,Super Area,"Kodalia, Hooghly-Chinsurah",6000,,Kolkata,Contact Owner
